inn,ogrn,sample_bucket,revenue_2023,revenue_2024,revenue_drop_2024_pct,net_profit_2023,net_profit_2024,assets_2023,assets_2024,assets_drop_2024_pct,equity_2023,equity_2024,filed_2023,filed_2024,imputed_2023,imputed_2024,outlier_2023,outlier_2024,risk_revenue_drop_gt_30,risk_negative_profit,risk_assets_drop_gt_25,risk_negative_equity,risk_data_quality_issue
1326253200,1191326001680,negative_profit,5831.0,0.0,100.0,35.0,-8809.0,142811.0,120759.0,15.441387568184522,21031.0,12222.0,1.0,1.0,0.0,0.0,0.0,0.0,true,true,false,false,false
2330033470,1062330008685,negative_profit,1220.0,1300.0,-6.557377049180328,-5002.0,-2525.0,45334.0,31090.0,31.42012617461508,-4992.0,-3230.0,1.0,1.0,0.0,0.0,0.0,0.0,false,true,true,true,false
5001124939,1195081013610,revenue_drop_gt_30,15438.0,7539.0,51.16595413913719,227.0,139.0,10597.0,11087.0,-4.623950174577711,241.0,304.0,1.0,1.0,0.0,0.0,0.0,0.0,true,false,false,false,false
5010060470,1225000120124,negative_profit,,,,-511.0,-178.0,229.0,58.0,74.67248908296943,205.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,false,true,true,false,false
5018124768,1085018000979,revenue_drop_gt_30,10282.0,5373.0,47.74362964403813,2784.0,1270.0,19568.0,6596.0,66.29190515126737,18096.0,6542.0,1.0,1.0,0.0,0.0,0.0,0.0,true,false,true,false,false
5019022991,1105019001174,normal,209863.0,245176.0,-16.826691698870217,1409.0,3797.0,243022.0,312101.0,-28.424998559801168,7859.0,11656.0,1.0,1.0,0.0,0.0,0.0,0.0,false,false,false,false,false
5020087440,1205000052498,data_quality_issue,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,false,true
5027217916,1145027017970,normal,153774.0,161473.0,-5.00669814142833,1122.0,2659.0,46024.0,45263.0,1.6534851381887712,42089.0,38771.0,1.0,1.0,0.0,0.0,0.0,0.0,false,false,false,false,false
5027227858,1155027004736,revenue_drop_gt_30,2776.0,22.0,99.20749279538906,438.0,-32.0,1281.0,1251.0,2.3419203747072603,1235.0,1201.0,1.0,1.0,0.0,0.0,0.0,0.0,true,true,false,false,false
5030060253,1075030005159,negative_profit,,,,-204.0,-76.0,113763.0,114100.0,-0.2962298814201454,113727.0,114051.0,1.0,1.0,0.0,0.0,0.0,0.0,false,true,false,false,false
